claim_id,complexity,handling_days,num_touches,is_fraud,fraud_type,settled_amount,was_reopened
CLM-00000,medium,17,5,False,,,False
CLM-00001,medium,10,5,False,,,False
CLM-00002,medium,15,5,True,repeated,1791.63,False
CLM-00003,complex,40,9,False,,1706.86,False
CLM-00004,simple,3,1,True,repeated,,False
CLM-00005,simple,4,2,False,,1317.83,False
CLM-00006,simple,6,1,False,,11733.11,False
CLM-00007,simple,3,1,False,,645.23,False
CLM-00008,medium,16,4,False,,22682.84,False
CLM-00009,medium,15,7,False,,778.3,False
CLM-00010,simple,5,3,False,,0.0,False
CLM-00011,simple,7,1,False,,,False
CLM-00012,complex,22,8,False,,3571.74,False
CLM-00013,simple,6,3,False,,2238.86,False
CLM-00014,simple,3,1,False,,,False
CLM-00015,simple,7,1,False,,1326.81,False
CLM-00016,simple,3,1,True,repeated,63.92,False
CLM-00017,simple,2,2,False,,,False
CLM-00018,medium,9,5,False,,2356.18,False
CLM-00019,medium,13,6,False,,0.0,False
CLM-00020,medium,20,2,False,,0.0,False
CLM-00021,simple,4,2,False,,2053.89,False
CLM-00022,medium,13,4,False,,1789.8,False
CLM-00023,medium,17,7,True,phantom,643.14,False
CLM-00024,complex,40,7,True,repeated,,False
CLM-00025,medium,3,8,False,,,False
CLM-00026,simple,4,3,True,repeated,0.0,False
CLM-00027,simple,3,1,False,,203.78,False
CLM-00028,complex,30,9,True,inflated,7591.58,False
CLM-00029,complex,38,17,False,,,False
CLM-00030,complex,54,9,False,,220.81,False
CLM-00031,simple,7,2,False,,358.17,False
CLM-00032,medium,11,4,False,,,False
CLM-00033,medium,19,5,False,,,False
CLM-00034,medium,9,6,False,,,False
CLM-00035,complex,40,13,False,,1008.38,False
CLM-00036,complex,36,8,False,,,False
CLM-00037,simple,6,3,False,,3782.66,False
CLM-00038,simple,4,1,False,,1139.19,False
CLM-00039,simple,7,2,False,,2924.03,False
CLM-00040,medium,15,3,False,,234.91,False
CLM-00041,complex,36,10,False,,1547.16,True
CLM-00042,complex,53,10,False,,6952.04,False
CLM-00043,simple,7,1,False,,0.0,False
CLM-00044,simple,4,1,False,,3648.42,False
CLM-00045,medium,11,2,False,,379.72,False
CLM-00046,simple,6,3,False,,706.85,False
CLM-00047,medium,18,9,False,,0.0,False
CLM-00048,simple,4,2,False,,,False
CLM-00049,simple,5,2,False,,,False
CLM-00050,medium,15,6,True,repeated,433.88,False
CLM-00051,complex,42,5,False,,1596.98,False
CLM-00052,simple,6,2,False,,280.83,False
CLM-00053,complex,8,10,False,,604.3,False
CLM-00054,medium,12,3,False,,,False
CLM-00055,medium,14,7,False,,377.27,True
CLM-00056,simple,6,1,False,,68.41,False
CLM-00057,simple,3,1,False,,,False
CLM-00058,medium,15,3,False,,,False
CLM-00059,complex,26,8,False,,,False
CLM-00060,medium,7,6,False,,,False
CLM-00061,medium,21,3,False,,,False
CLM-00062,medium,17,3,False,,508.59,True
CLM-00063,medium,12,6,False,,,False
CLM-00064,simple,4,2,False,,420.35,False
CLM-00065,simple,4,1,False,,2386.71,False
CLM-00066,simple,3,2,False,,2358.82,False
CLM-00067,complex,39,4,False,,314.64,False
CLM-00068,complex,32,8,False,,,False
CLM-00069,simple,3,3,False,,,False
CLM-00070,simple,3,1,False,,2930.57,False
CLM-00071,simple,6,1,False,,168.79,False
CLM-00072,medium,13,4,False,,,False
CLM-00073,complex,39,10,True,inflated,,False
CLM-00074,simple,8,1,False,,489.14,False
CLM-00075,simple,7,1,False,,137.56,False
CLM-00076,simple,5,1,False,,403.9,False
CLM-00077,complex,44,11,False,,,False
CLM-00078,complex,41,12,False,,2606.15,False
CLM-00079,simple,5,1,False,,2533.37,False
CLM-00080,simple,4,1,False,,5706.83,False
CLM-00081,medium,16,6,False,,,False
CLM-00082,simple,5,1,False,,1254.73,True
CLM-00083,complex,30,11,False,,1412.99,False
CLM-00084,simple,5,3,False,,64.48,False
CLM-00085,simple,6,1,False,,0.0,False
CLM-00086,complex,28,15,False,,170.26,False
CLM-00087,medium,14,3,False,,,False
